feature_1,feature_2,Пирсон,Спирман
Деаэрация | ASTM D3427,Температура проведения теста | -,1.0,1.0
"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",0.9999999582250407,0.9999870414043762
Массовая доля серы | ASTM D6481,Массовая доля фосфора | ASTM D6481,0.9995218346289533,0.9259882521698465
Массовая доля фосфора | ASTM D6481,Массовая доля цинка | ASTM D6481,0.9991404744598357,0.999998036134298
Деэм.вода | ASTM D1401,Деэм.масло | ASTM D1401,0.9987844880734886,0.9963327726757488
Массовая доля серы | ASTM D6481,Массовая доля цинка | ASTM D6481,0.9980623692742681,0.9259864576196816
Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,0.9965874708027717,0.7083934812985931
Последовательность 1 | ASTM D892,Последовательность 3 | ASTM D892,0.9922332955924069,0.6028130514670138
Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,0.9921440055843356,0.5701365902249959
"Массовая доля фосфора, ASTM D6481","Массовая доля цинка, ASTM D6481",0.9907498207162331,0.9796042683483012
"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293",0.9680546700080497,0.8255942984652047
"Массовая доля кальция, ASTM D6481","Щелочное число, ASTM D2896",0.9363734224764576,0.5912394800547401
"Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293",0.9168900792373356,0.9850604323494585
"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293",0.886247138140872,0.8080405892989054
"Индекс вязкости, ГОСТ 25371","Температура застывания, ГОСТ 20287, метод Б",-0.7906250066605227,-0.8910447192842036
"Массовая доля серы, ASTM D6481","Массовая доля фосфора, ASTM D6481",0.7814018432831401,0.7693152467246908
"Массовая доля серы, ASTM D6481","Массовая доля цинка, ASTM D6481",0.7680032974009156,0.7406156341704011
Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,0.7385377452716066,0.9989073744100885
Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,0.7324418314111153,0.9982929240608549
"Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293",0.7106198774929231,0.8772633666804093
"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч",-0.7021316890231074,-0.7167275986891024
"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс",-0.6963377016335125,-0.7102754256085616
"Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293",0.64168740452643,0.8629270630320143
Деэм.вода | ASTM D1401,"Индекс вязкости, ГОСТ 25371",0.635319402465964,0.6424325364418563
Деэм.масло | ASTM D1401,"Индекс вязкости, ГОСТ 25371",0.6327202112242244,0.6386992136219501
